T,Lon,Lat,Y1,Y2,Y3,X1,X2,X3,X4,X5,X6,X7,X8
2011,-63.588653,-16.290154,0.42762909,17.975,23963.03,30.36910664,18.1,48.80850365,25.25,0.027458709,9.596830056,2.913975403,66.874
2011,-78.183406,-1.831239,0.5373774,35.253,79276.66,37.63463987,13.15,52.28856499,0,0.035363451,61.35339024,2.076831819,62.851
2011,-55.765835,-32.522779,0.88722869,7.39,47962.44,22.70512025,49.67,10.10764484,66,0.071200488,19.20715918,1.251884183,94.612
2011,-71.542969,-35.675147,0.73858753,83.909,251224.86,32.44175423,28.79,22.72857658,679,0.124929059,23.09728835,1.535324967,87.132
2011,179.414413,-16.578193,0.49609994,1.059,3774.53,17.41334029,33.38,59.10870279,0,0.045675399,49.7183908,1.705057954,52.683
2011,-172.104629,-13.759029,0.61582899,0.172,737.4,18.58414037,40.26,58.65936396,0,0.051319855,69.3819788,1.7366786,19.857
2011,-175.198242,-21.178986,1.0817078,0.118,414.52,19.17127209,1.14,12.43055556,0,0.032144082,149.4597222,1.21953609,23.443
2011,166.959158,-15.376706,0.88667893,0.438,770.15,9.994920543,35.75,36.28383921,0,0.176918715,20.6147662,1.020010128,24.561
2011,174.885971,-40.900557,0.78051934,30.563,168291.36,20.99471893,30.31,37.40009115,3066,0.051803077,16.64957654,1.402885032,86.1
2012,53.847818,23.424076,0.71037072,190.138,374590.66,57.4491471,0.1,4.467755562,279,0.107905226,122.0074486,2.86739584,84.749
2012,55.923255,21.512583,0.47264494,60.74,87408.84,67.5381672,0,0.009693053,0,0.214932689,11.42351858,3.241124124,77.564
2012,47.576927,40.143105,0.46257392,31.432,69683.94,59.45579126,2.84,12.71082654,353,0.018422107,112.4607902,2.169332274,53.883
2012,69.345116,30.375321,1.0144816,144.13,224383.62,21.29881027,47.2,5.226855023,117,0.055323321,262.3052369,3.065446845,35.408
2012,50.637772,25.930414,0.24998109,29.273,30749.31,47.54907133,0,0.716883117,55,0.05043388,1590.82987,5.953634732,88.762
2012,121.774017,12.879721,1.0206731,86.516,261920.51,31.39949336,34.06,23.17299527,290,0.138879785,328.7799477,1.373006261,45.712
2012,43.356892,42.315407,0.56201514,7.458,16488.4,19.17230133,28.69,40.61591596,153,0.046926324,65.23800693,3.317158123,56.303
2012,66.923684,48.019573,0.59747356,235.531,207998.57,36.30285333,1.33,1.175201022,0,0.12346994,6.219983702,3.52487856,56.973
2012,127.510093,40.339852,0.29972973,591.61,1278427.63,34.13469264,1.61,65.43006885,203880,0.200570832,515.8755832,0.117688109,81.851
2012,104.990963,12.565679,0.66357182,5.858,14054.44,22.97645491,64.36,56.04048266,0,0.20800779,83.7675051,1.876650297,21.037
2012,51.183884,25.354826,0.5934223,77.365,186833.5,71.76825133,0.04,0,71,0.045405144,164.1395349,2.369589608,98.697
2012,47.481766,29.31166,0.65110723,86.117,174070.38,74.81214967,0,0.350729517,0,0.072137448,190.4973625,2.383389983,100
2012,35.862285,33.854721,0.54068851,24.17,44016.8,15.48551974,5.56,13.5427175,0,0.038900284,506.1913001,2.034250786,87.636
2012,101.975766,4.210484,1.0534769,209.21,314443.15,40.13500101,2.52,58.29943083,1980,0.301587257,90.27609801,3.302370238,72.275
2012,103.846656,46.862496,0.41069687,12.18,12292.77,30.77159311,2.97,9.10685778,0,0.536999147,1.79312603,4.475974496,68.03
2012,90.356331,23.684994,0.50219274,59.307,133355.75,25.30995939,37.36,14.49155105,72,0.06336311,1168.400161,2.210435096,31.993
2012,84.124008,28.394857,0.57773721,6.014,21703.11,13.97716181,84.7,41.59072201,9,0.092045979,190.657091,1.218001383,17.458
2012,45.079162,23.885942,1.056291,499.091,735974.84,62.69115552,0.01,0.454484135,0,0.099615115,14.33766869,3.68791194,82.52
2012,71.276093,38.861034,0.59420738,2.948,7633.05,22.04263462,55.8,2.963132324,21,0.243244706,56.84754215,7.818520775,26.545
